Utterance,Speaker,Emotion,Strategy
"From what I've seen, you enjoy having fun with Oliver.",Therapist,neutral,Interpretation
"But when it comes to making the rules, creating a structure for him,",Therapist,neutral,Interpretation
"for a long time, you let Bess do that job.",Therapist,neutral,Interpretation
And then you hoped that Nina would take her place.,Therapist,neutral,Interpretation
"So when he misbehaves,",Therapist,neutral,Interpretation
you blame them.,Therapist,neutral,Interpretation
You refuse to take responsibility for Oliver yourself.,Therapist,neutral,Interpretation
So can you see how that might...,Therapist,neutral,Interpretation
how that might upset everybody?,Therapist,neutral,Interpretation
"Boy, now I could really use a drink.",Client,anger,undefined
Have you been drinking lately?,Therapist,neutral,Open question
What did Oliver tell you?,Client,neutral,undefined
Why would you ask me that?,Therapist,neutral,Open question
"Because the night I broke up with Nina, I went out and got a six-pack,",Client,depression,undefined
"Because the night I broke up with Nina, I went out and got a six-pack,",Client,depression,undefined
drank the whole thing right in front of the kid.,Client,depression,undefined
"I thought, let him tell Nina,",Client,depression,undefined
"or Bess, or you.",Client,depression,undefined
Why not?,Client,depression,undefined
So you wanted Oliver to tell us?,Therapist,neutral,Restatement
I don't care.,Client,depression,undefined
I never really had a drinking problem. That was Bess being paranoid.,Client,depression,undefined
"But the other night, I'd just broken up with my girlfriend,",Client,depression,undefined
"my kid was acting up,",Client,depression,undefined
"my ex-wife skipped town, you'd skipped town.",Client,depression,undefined
"Shit, who wouldn't need a drink after all that, right?",Client,depression,undefined
Are you saying you needed a drink?,Therapist,neutral,Restatement
"You know, the week before Bess went on vacation,",Client,depression,undefined
Oliver was on his best behavior.,Client,depression,undefined
"But the second she left town,",Client,depression,undefined
he's turned into this monster.,Client,anger,undefined
Is he trying to get some kind of reaction out of me?,Client,anger,undefined
I think that's part of it.,Therapist,neutral,Interpretation
But I also think that he was behaving so well,Therapist,neutral,Interpretation
because he was trying to get some kind of reaction from you.,Therapist,neutral,Interpretation
That doesn't make any sense.,Client,anger,undefined
"Well, look at it from Oliver's point of view.",Therapist,neutral,Interpretation
"His family is breaking apart,",Therapist,neutral,Interpretation
"so he puts a lot of pressure on himself,",Therapist,neutral,Interpretation
"trying to behave perfectly,",Therapist,neutral,Interpretation
hoping that that would solve the problem.,Therapist,neutral,Interpretation
So you're saying he was faking it.,Client,neutral,undefined
"In a way, yeah.",Therapist,neutral,Communication Skills
"I mean, He even tried to stop eating so that you wouldn't be concerned about his weight.",Therapist,neutral,Interpretation
He told you that?,Client,neutral,undefined
But it didn't work.,Therapist,neutral,Interpretation
"He did everything right, but it didn't solve any of the problems.",Therapist,neutral,Interpretation
"So now, maybe he's behaving badly",Therapist,neutral,Interpretation
to try and make you feel as badly as he feels.,Therapist,neutral,Interpretation
"Well, I tell you, I liked him a hell of a lot better when he was pretending to be happy.",Client,neutral,undefined
"Well, Oliver couldn't keep up that behavior forever.",Therapist,neutral,Interpretation
He had me fooled.,Client,neutral,undefined
"Bess and I We talked to him about the adoption, and that seemed to make him feel better.",Client,neutral,undefined
I honestly believed he was doing well.,Client,neutral,undefined
Which is what I think he wanted you to believe.,Therapist,neutral,Self-disclosure
"I've talked to him about the adoption too, and...",Therapist,neutral,Self-disclosure
"The way he sees it, Bess and you were fighting...",Therapist,neutral,Self-disclosure
"too much, and you gave his brother away.",Therapist,neutral,Self-disclosure
And things are so difficult for him right now that...,Therapist,neutral,Self-disclosure
I think that sometimes he wishes you'd give him away too.,Therapist,neutral,Self-disclosure
Does he even love me?,Client,sadness,undefined
Why would you say that?,Therapist,neutral,Open question
I didn't love my dad.,Client,depression,undefined
Not even when you were Oliver's age?,Therapist,neutral,Open question
Sure.,Client,depression,undefined
"I did love him back then, but it was unrequited love.",Client,depression,undefined
"You'll have to explain that to me, Luke.",Therapist,neutral,Advisement
My father was the dean of students and basketball coach at my middle school.,Client,depression,undefined
He was in charge of every breath my brother and I took.,Client,depression,undefined
"When we did well,",Client,depression,undefined
that's just what he expected of us.,Client,depression,undefined
"And when we screwed up,",Client,depression,undefined
"well, let's just say he was a man of limited sympathy.",Client,depression,undefined
That's quite a lot to live up to.,Therapist,neutral,Approval
You'd think that.,Client,neutral,undefined
"The year I was in the seventh grade,",Client,neutral,undefined
he started taking long drives on the weekends by himself.,Client,neutral,undefined
"My brother and I got on our bikes and we rode around the neighborhood,",Client,joy,undefined
looking for his car.,Client,joy,undefined
And we found it in the driveway of this little house.,Client,neutral,undefined
My brother made me ring the buzzer.,Client,neutral,undefined
"The door opened, and there was my father's secretary,",Client,neutral,undefined
this nice lady who'd give us candy.,Client,joy,undefined
Then my dad came out of her bathroom and started screaming at us.,Client,depression,undefined
What did you guys do?,Therapist,neutral,Open question
What could we do? We got on our bikes and we rode home.,Client,depression,undefined
And then I was lying awake that night in the bed,Client,depression,undefined
and I realized my father's secretary's living room,Client,disgust,undefined
looked exactly like our living room.,Client,disgust,undefined
Every piece of furniture was exactly the same as ours.,Client,disgust,undefined
He must've bought it all for her.,Client,depression,undefined
My brother told my mother and shit hit the fan.,Client,disgust,undefined
She packed us up and we left town.,Client,depression,undefined
We only ever heard from him when he sent his check every month.,Client,depression,undefined
"He was good about the money, I'll give him that.",Client,disgust,undefined
But we didn't wanna see him.,Client,disgust,undefined
"I mean, he sure didn't wanna see us.",Client,disgust,undefined
He never met Bess or Oliver.,Client,disgust,undefined
"And when he died, it was like a formality.",Client,disgust,undefined
But lately...,Client,depression,undefined
It's like he's laughing at me.,Client,depression,undefined
I did everything right.,Client,depression,undefined
I proposed to Bess when I got her pregnant.,Client,depression,undefined
I worked like a dog to make a good home.,Client,depression,undefined
I never raised a hand to Oliver.,Client,depression,undefined
And now I feel like I'm standing right where my father stood.,Client,sadness,undefined
"You know, just because you're getting a divorce, that doesn't...",Therapist,neutral,Interpretation
that doesn't mean you're turning into your father.,Therapist,neutral,Interpretation
And it doesn't mean that you're gonna lose your son.,Therapist,neutral,Interpretation
But that's exactly what it feels like I'm doing.,Client,sadness,undefined
It's inevitable that sometimes you'll remind yourself of your father.,Therapist,neutral,Approval
You see how you wound your own children so...,Therapist,neutral,Interpretation
so badly without even trying.,Therapist,neutral,Interpretation
"Suddenly, you almost understand how he...",Therapist,neutral,Interpretation
he could hurt you the way he did.,Therapist,neutral,Interpretation
But you don't have to become like him.,Therapist,neutral,Advisement
